apr 1.6.5-1
mingw-w64-x86_64-poppler 0.69.0-1
mingw-w64-x86_64-poppler-data 0.4.9-1
mingw-w64-x86_64-python3 3.7.1-2
mingw-w64-x86_64-readline 7.0.005-1
mingw-w64-x86_64-shared-mime-info 1.10-1
mingw-w64-x86_64-sqlite3 3.25.3-1
mingw-w64-x86_64-tcl 8.6.8-1
mingw-w64-x86_64-termcap 1.3.1-3
mingw-w64-x86_64-tk 8.6.8-1
mingw-w64-x86_64-windows-default-manifest 6.4-3
mingw-w64-x86_64-wineditline 2.205-1
mingw-w64-x86_64-winpthreads-git 7.0.0.5253.37101e0b-1
mingw-w64-x86_64-xpm-nox 4.2.0-5
mingw-w64-x86_64-xz 5.2.4-1
mingw-w64-x86_64-z3 4.8.3-1
mingw-w64-x86_64-zlib 1.2.11-5
mingw-w64-x86_64-zstd 1.3.7-1
mintty 1~2.9.4-1
mpdecimal 2.4.2-2
mpfr 4.0.1-1
msys2-keyring r9.397a52e-1
msys2-launcher-git 0.3.32.56c2ba7-2
msys2-runtime 2.11.2-1
ncurses 6.1.20180908-1
nettle 3.4-1
openssh 7.9p1-1
openssl 1.0.2.p-2
p11-kit 0.23.14-1
pacman 5.1.1-3
pacman-mirrors 20180604-2
pactoys-git r2.07ca37f-1
pax-git 20161104.2-1
pcre 8.42-1
perl 5.28.0-1
perl-Authen-SASL 2.16-2
perl-Convert-BinHex 1.125-1
perl-Encode-Locale 1.05-1
perl-Error 0.17027-1
perl-File-Listing 6.04-2
perl-HTML-Parser 3.72-3
perl-HTML-Tagset 3.20-2
perl-HTTP-Cookies 6.04-1
perl-HTTP-Daemon 6.01-2
perl-HTTP-Date 6.02-2
perl-HTTP-Message 6.18-1
perl-HTTP-Negotiate 6.01-2
perl-IO-Socket-SSL 2.060-1
perl-IO-stringy 2.111-1
perl-LWP-MediaTypes 6.02-2
perl-MIME-tools 5.509-1
perl-MailTools 2.20-1
perl-Net-HTTP 6.18-1
perl-Net-SMTP-SSL 1.04-1
perl-Net-SSLeay 1.85-1
perl-TermReadKey 2.37-3
perl-TimeDate 2.30-2
perl-Try-Tiny 0.30-1
perl-URI 1.74-1
perl-WWW-RobotRules 6.02-2
perl-libwww 6.36-1
pinentry 1.1.0-2
pkgfile 19-1
procps-ng 3.3.12-1
python 3.7.1-1
rebase 4.4.4-1
sed 4.5-1
subversion 1.11.0-1
tftp-hpa 5.2-2
tig 2.4.1-1
time 1.9-1
ttyrec 1.0.8-2
tzcode 2018.c-1
util-linux 2.32.1-1
vim 8.1.0500-1
wget 1.19.5-1
which 2.21-2
xz 5.2.4-1
zlib 1.2.11-1
zsh 5.6.1-1
